County,AQI_records_18,Good_18,Moderate_18,Unhealthy_sens_18,Unhealthy_18,Very_unhealthy_18,Hazardous_18,Max_AQI_18,90th_Percentile_AQI_18,Median_AQI_18,CO_18,NO2_18,O3_18,PM2.5_18,PM10_18
Colusa,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17
Contra Costa,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0
Del Norte,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0
El Dorado,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9
Fresno,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4
Glenn,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48
Humboldt,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15
Imperial,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94
Inyo,365,192,136,26,7,2,2,638,101,49,0,0,291,44,30
Kern,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13
Kings,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44
Lake,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2
Los Angeles,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1
Madera,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24
Marin,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0
Mariposa,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0
Mendocino,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1
Merced,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1
Mono,365,252,84,14,10,3,2,1049,85,27,0,0,0,234,131
Monterey,365,258,100,5,2,0,0,157,57,42,0,0,149,189,27
Napa,364,210,142,4,8,0,0,195,65,46,1,1,99,262,1
Nevada,363,231,104,19,7,2,0,218,87,45,0,0,311,52,0
Orange,365,114,233,15,3,0,0,160,86,54,0,17,114,231,3
Placer,365,213,127,16,7,2,0,248,84,46,0,12,176,174,3
Plumas,350,186,154,8,2,0,0,162,85,47,0,0,0,350,0
Riverside,365,32,193,102,32,6,0,296,153,87,0,1,210,117,37
Sacramento,365,104,226,22,6,5,2,376,100,58,0,1,131,229,4
San Benito,365,270,84,11,0,0,0,143,63,42,0,0,286,78,1
San Bernardino,365,14,197,96,51,7,0,221,164,89,0,5,197,159,4
San Diego,365,28,302,35,0,0,0,143,100,67,0,0,162,203,0
San Francisco,365,222,129,2,10,2,0,252,66,44,1,23,86,254,1
San Joaquin,365,91,241,20,8,4,1,365,99,59,0,0,85,276,4
San Luis Obispo,365,147,209,9,0,0,0,133,77,53,0,0,172,168,25
San Mateo,365,236,116,3,10,0,0,197,61,42,0,13,90,262,0
Santa Barbara,365,173,190,2,0,0,0,114,67,51,0,0,167,188,10
Santa Clara,365,154,194,6,9,2,0,214,72,53,0,2,94,269,0
Santa Cruz,365,273,82,5,5,0,0,177,56,41,0,0,136,229,0
Shasta,365,272,72,15,5,1,0,206,84,43,0,0,341,23,1
Siskiyou,365,247,78,16,21,3,0,219,119,42,0,0,214,151,0
Solano,365,184,166,3,11,1,0,272,69,50,0,1,120,244,0
Sonoma,365,304,48,3,8,2,0,250,57,39,0,2,232,130,1
Stanislaus,365,109,209,32,11,4,0,265,108,59,0,1,153,206,5
Sutter,365,94,236,22,6,6,1,420,100,58,0,0,101,263,1
Tehama,365,208,128,16,12,1,0,206,96,48,0,0,224,141,0
Trinity,291,117,155,12,5,2,0,209,82,54,0,0,0,291,0
Tulare,365,50,194,95,26,0,0,180,140,79,0,0,207,152,6
Tuolumne,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0
Ventura,365,94,254,16,1,0,0,166,88,57,0,0,116,238,11
Yolo,365,216,135,5,7,2,0,260,71,45,0,0,198,167,0
Adams,365,138,224,3,0,0,0,130,74,54,0,32,120,176,37
Alamosa,360,348,11,0,0,1,0,235,37,19,0,0,0,50,310
Arapahoe,365,227,123,14,1,0,0,156,87,46,0,0,350,15,0
Archuleta,365,333,32,0,0,0,0,97,50,38,0,0,331,0,34
Boulder,362,198,135,28,1,0,0,159,96,49,0,0,265,97,0
Chaffee,164,67,91,5,1,0,0,161,87,58,0,0,164,0,0
Clear Creek,291,145,118,25,3,0,0,164,100,51,0,0,291,0,0
Delta,297,264,33,0,0,0,0,85,52,36,0,1,199,58,39
Denver,365,124,231,10,0,0,0,150,80,54,0,98,119,148,0
Douglas,364,194,143,24,3,0,0,156,97,49,0,0,283,81,0
El Paso,365,217,140,8,0,0,0,119,84,47,0,0,301,64,0
Fremont,20,20,0,0,0,0,0,36,20,15,0,0,0,0,20
Garfield,365,214,135,15,1,0,0,151,87,48,0,0,357,7,1
Grand,166,110,54,1,1,0,0,151,67,47,0,0,166,0,0
Gunnison,365,235,125,4,1,0,0,156,77,47,0,0,354,0,11
Jackson,116,113,3,0,0,0,0,64,27,9,0,0,0,116,0
Jefferson,365,229,99,35,2,0,0,151,101,46,0,0,365,0,0
La Plata,365,236,109,10,7,3,0,243,80,45,0,0,305,57,3
Larimer,365,160,177,25,3,0,0,169,97,53,0,0,287,78,0
Mesa,365,193,167,5,0,0,0,150,80,49,1,0,274,89,1
Moffat,331,262,68,1,0,0,0,108,61,42,0,0,331,0,0
Montezuma,359,259,96,4,0,0,0,115,71,44,0,0,356,3,0
Montrose,326,257,68,1,0,0,0,122,64,42,0,0,326,0,0
Park,324,161,145,17,1,0,0,174,90,51,0,0,323,1,0
Pitkin,123,120,3,0,0,0,0,53,33,15,0,0,0,43,80
Prowers,359,353,5,1,0,0,0,103,31,16,0,0,0,0,359
Pueblo,123,108,14,1,0,0,0,101,51,29,0,0,0,105,18
Rio Blanco,365,215,148,2,0,0,0,108,71,47,0,0,238,127,0
Routt,355,354,1,0,0,0,0,51,30,15,0,0,0,0,355
San Juan,118,109,9,0,0,0,0,100,33,10,0,0,0,118,0
San Miguel,238,160,76,2,0,0,0,101,71,46,0,0,181,0,57
Teller,160,63,85,12,0,0,0,133,97,58,0,0,160,0,0
Weld,365,138,217,10,0,0,0,133,87,54,0,0,208,157,0
Fairfield,365,218,126,14,7,0,0,185,80,46,0,11,157,197,0
Hartford,365,240,123,2,0,0,0,143,64,42,0,11,130,224,0
Litchfield,363,308,51,4,0,0,0,133,57,36,1,0,299,63,0
Middlesex,208,168,32,8,0,0,0,126,67,40,0,0,208,0,0
New Haven,365,220,131,12,2,0,0,156,71,44,0,7,143,215,0
New London,315,260,49,6,0,0,0,140,56,39,0,0,167,148,0
Tolland,213,189,20,4,0,0,0,140,54,38,0,0,213,0,0
Windham,358,332,20,6,0,0,0,129,47,34,0,0,358,0,0
BAJA CALIFORNIA NORTE,152,11,102,28,10,0,1,487,139,76,0,0,0,99,53
SONORA,362,317,42,3,0,0,0,119,51,38,0,0,362,0,0
Kent,365,267,96,2,0,0,0,133,59,42,0,0,214,151,0
New Castle,365,212,147,6,0,0,0,150,71,48,0,2,149,214,0
Sussex,365,256,105,4,0,0,0,140,61,42,0,0,236,129,0
District of Columbia,365,167,192,5,1,0,0,164,74,52,0,5,114,246,0
Alachua,364,317,47,0,0,0,0,90,52,37,0,0,205,159,0
Baker,360,341,19,0,0,0,0,87,46,31,0,0,360,0,0
Bay,323,209,113,1,0,0,0,126,58,44,0,0,90,233,0
Brevard,365,288,76,1,0,0,0,129,55,41,0,0,167,198,0
Broward,365,191,174,0,0,0,0,100,61,49,0,4,63,298,0
Citrus,350,247,103,0,0,0,0,73,56,43,0,0,0,350,0
Collier,365,262,103,0,0,0,0,80,58,42,0,0,118,247,0
Columbia,359,267,91,1,0,0,0,111,58,41,0,0,131,228,0
Duval,365,177,183,4,1,0,0,156,65,51,0,0,55,299,11
Escambia,365,306,59,0,0,0,0,93,54,38,0,0,314,51,0
Flagler,345,330,15,0,0,0,0,77,47,32,0,0,345,0,0
Hamilton,307,205,102,0,0,0,0,69,56,43,0,0,0,307,0
Highlands,351,337,13,1,0,0,0,108,47,31,0,0,351,0,0
Hillsborough,365,168,193,4,0,0,0,122,63,51,0,0,67,298,0
Holmes,346,236,110,0,0,0,0,81,58,43,0,0,79,267,0
Indian River,356,325,30,1,0,0,0,101,49,36,0,0,356,0,0
Lake,363,331,31,1,0,0,0,101,49,33,0,0,363,0,0
Lee,365,294,70,1,0,0,0,106,57,38,0,0,212,153,0
Leon,355,217,138,0,0,0,0,97,61,46,0,0,58,297,0
Liberty,284,273,11,0,0,0,0,71,47,31,0,0,284,0,0
Manatee,365,330,33,2,0,0,0,119,50,34,0,0,365,0,0
Marion,365,273,92,0,0,0,0,90,56,42,0,0,86,279,0
Martin,365,285,79,1,0,0,0,112,55,42,0,0,109,256,0
Miami-Dade,365,194,167,4,0,0,0,126,61,49,0,8,49,307,1
Nassau,271,192,79,0,0,0,0,86,56,43,0,0,0,271,0
Okaloosa,353,325,28,0,0,0,0,80,49,33,0,0,345,0,8
Orange,365,286,77,1,1,0,0,151,55,40,0,0,191,174,0
Osceola,365,330,33,2,0,0,0,126,50,33,0,0,365,0,0
Palm Beach,365,260,105,0,0,0,0,91,58,42,0,0,152,202,11
Pasco,365,324,39,2,0,0,0,129,54,35,0,0,365,0,0
Pinellas,365,245,120,0,0,0,0,100,59,46,0,0,103,260,2
Polk,365,290,73,2,0,0,0,112,56,39,0,0,152,213,0
Putnam,302,301,1,0,0,0,0,51,23,14,0,0,0,0,302
Santa Rosa,363,240,123,0,0,0,0,90,58,43,0,0,109,254,0
Sarasota,365,239,126,0,0,0,0,97,60,45,0,0,102,263,0
Seminole,365,309,54,2,0,0,0,150,58,39,0,0,191,174,0
St. Lucie,360,342,18,0,0,0,0,100,47,33,0,0,360,0,0
Volusia,365,291,74,0,0,0,0,80,55,41,0,0,143,222,0
Wakulla,353,266,87,0,0,0,0,98,58,41,3,0,109,241,0
Bibb,362,250,111,1,0,0,0,106,60,42,0,0,84,278,0
Charlton,114,105,9,0,0,0,0,65,46,26,0,0,0,114,0
Chatham,363,232,131,0,0,0,0,77,58,44,0,0,55,308,0
Chattooga,245,224,21,0,0,0,0,87,50,35,0,0,245,0,0
Clarke,332,207,123,2,0,0,0,105,61,46,0,0,93,239,0
Clayton,120,72,48,0,0,0,0,71,59,44,0,0,0,120,0
Cobb,286,213,73,0,0,0,0,100,61,41,0,0,203,83,0
Coffee,116,106,10,0,0,0,0,69,49,29,0,0,0,116,0
Columbia,245,223,22,0,0,0,0,90,50,36,0,0,245,0,0
Dawson,245,222,21,2,0,0,0,108,50,35,0,0,245,0,0
DeKalb,365,195,170,0,0,0,0,100,63,49,0,21,76,268,0
Dougherty,357,227,129,1,0,0,0,137,62,39,0,0,0,357,0
Douglas,242,214,28,0,0,0,0,93,51,37,0,0,242,0,0
Floyd,333,151,182,0,0,0,0,82,64,52,0,0,0,333,0
Fulton,365,153,208,4,0,0,0,133,68,52,1,22,70,272,0
Glynn,272,247,25,0,0,0,0,74,49,35,0,0,202,70,0
Gwinnett,361,160,201,0,0,0,0,87,66,52,0,0,66,295,0
Hall,322,220,102,0,0,0,0,72,58,41,0,0,0,322,0
Henry,354,246,105,3,0,0,0,115,60,38,0,0,134,220,0
Houston,322,196,124,2,0,0,0,108,63,46,0,0,0,322,0
Lowndes,315,167,148,0,0,0,0,94,59,49,0,0,0,315,0
Murray,271,232,39,0,0,0,0,100,54,37,0,0,205,66,0
Muscogee,364,257,107,0,0,0,0,98,59,39,0,0,105,259,0
Pike,288,274,13,1,0,0,0,115,46,33,0,0,288,0,0
Richmond,364,200,160,4,0,0,0,150,63,47,0,0,54,300,10
Rockdale,243,200,41,2,0,0,0,112,61,36,0,0,243,0,0
Sumter,241,219,22,0,0,0,0,80,50,34,0,0,241,0,0
Walker,347,196,151,0,0,0,0,75,61,47,0,0,0,347,0
Washington,121,96,25,0,0,0,0,70,56,37,0,0,0,121,0
Hawaii,365,140,211,12,2,0,0,153,89,55,0,0,0,365,0
Honolulu,365,353,12,0,0,0,0,73,43,31,1,0,200,162,2
Kauai,355,350,5,0,0,0,0,56,34,18,0,147,0,208,0
Maui,361,347,14,0,0,0,0,76,39,25,0,0,0,361,0
Ada,365,266,92,7,0,0,0,134,72,42,2,0,226,135,2
Bannock,365,298,63,2,2,0,0,174,60,29,0,0,0,310,55
Benewah,361,156,192,11,2,0,0,164,80,53,0,0,0,361,0
Blaine,363,313,47,3,0,0,0,143,55,17,0,0,0,363,0
Boise,365,169,190,6,0,0,0,130,70,52,0,0,0,365,0
Bonner,363,258,89,11,4,1,0,270,64,39,0,0,0,332,31
Bonneville,352,268,81,2,1,0,0,154,61,36,0,0,0,352,0
Butte,363,311,49,3,0,0,0,115,54,41,0,0,352,11,0
Canyon,365,254,106,5,0,0,0,134,69,35,0,0,0,324,41
Custer,90,85,3,2,0,0,0,128,26,7,0,0,0,90,0
Franklin,319,249,67,3,0,0,0,124,61,25,0,0,0,319,0
Idaho,365,248,115,2,0,0,0,134,64,43,0,0,156,209,0
Jerome,320,270,45,5,0,0,0,145,57,24,0,0,0,320,0
Kootenai,331,240,81,5,4,1,0,229,65,33,0,0,0,331,0
Latah,365,327,32,5,1,0,0,184,52,14,0,0,0,365,0
Lemhi,360,225,132,3,0,0,0,121,74,38,0,0,0,360,0
Nez Perce,365,273,87,4,1,0,0,188,67,25,0,0,0,365,0
Shoshone,365,157,195,12,1,0,0,153,85,53,0,0,0,361,4
Twin Falls,355,271,79,3,2,0,0,151,60,39,0,0,0,355,0
Valley,353,254,97,2,0,0,0,108,62,29,0,0,0,353,0
Adams,245,228,17,0,0,0,0,87,49,35,0,0,245,0,0
Champaign,365,209,152,4,0,0,0,112,65,47,0,0,148,217,0
Clark,359,337,21,1,0,0,0,101,48,32,0,0,359,0,0
Cook,365,86,260,15,4,0,0,177,86,59,0,25,91,244,5
DuPage,361,136,221,4,0,0,0,112,72,53,0,0,89,272,0
Effingham,245,214,30,1,0,0,0,112,51,39,0,0,245,0,0
Hamilton,362,212,147,3,0,0,0,105,63,47,0,0,111,251,0
Jersey,356,208,145,3,0,0,0,122,66,47,0,0,131,225,0
Jo Daviess,344,323,19,2,0,0,0,119,47,33,0,0,344,0,0
Kane,364,275,84,5,0,0,0,122,63,39,0,0,287,77,0
Lake,352,304,40,6,2,0,0,164,58,35,0,0,352,0,0
Macon,365,162,200,3,0,0,0,126,67,52,0,0,86,279,0
Macoupin,333,300,30,3,0,0,0,115,50,36,0,89,244,0,0
Madison,365,159,196,8,2,0,0,154,74,53,0,0,166,195,4
McHenry,362,213,141,8,0,0,0,122,71,46,0,0,185,177,0
McLean,365,169,195,1,0,0,0,108,67,52,0,0,99,266,0
Peoria,365,189,173,3,0,0,0,101,67,49,0,0,121,244,0
Randolph,363,225,137,1,0,0,0,129,61,46,0,0,150,213,0
Rock Island,365,212,152,1,0,0,0,101,63,46,0,0,161,204,0
Saint Clair,364,152,207,4,1,0,0,174,64,52,2,17,101,244,0
Sangamon,363,189,173,1,0,0,0,122,66,49,0,0,107,256,0
Will,365,194,167,4,0,0,0,126,70,49,0,0,160,205,0
Winnebago,362,310,49,2,1,0,0,151,54,36,0,0,335,27,0
Allen,365,193,166,6,0,0,0,122,68,50,0,0,162,203,0
Bartholomew,365,242,119,4,0,0,0,108,63,44,0,0,184,181,0
Boone,365,324,36,5,0,0,0,112,54,34,0,0,365,0,0
Brown,363,339,24,0,0,0,0,97,48,33,0,0,363,0,0
Carroll,359,337,19,3,0,0,0,115,48,32,0,0,359,0,0
Clark,357,276,77,4,0,0,0,122,61,37,0,0,282,75,0
Delaware,361,301,56,4,0,0,0,129,58,36,0,0,294,67,0
Dubois,119,71,48,0,0,0,0,89,62,42,0,0,0,116,3
Elkhart,363,228,132,3,0,0,0,105,62,44,0,0,139,224,0
Floyd,346,295,46,5,0,0,0,143,55,35,0,0,319,27,0
Greene,361,294,64,3,0,0,0,129,59,38,0,0,300,61,0
Hamilton,365,229,130,6,0,0,0,129,63,45,0,0,165,200,0
Hendricks,365,335,28,2,0,0,0,108,48,33,0,0,365,0,0
Henry,116,80,35,1,0,0,0,111,60,41,0,0,0,116,0
Howard,365,234,126,5,0,0,0,108,61,44,0,0,145,220,0
Huntington,358,337,21,0,0,0,0,97,46,31,0,0,358,0,0
Jackson,341,321,20,0,0,0,0,90,47,32,0,0,341,0,0
Knox,357,311,42,4,0,0,0,122,54,35,0,0,357,0,0
LaPorte,363,288,68,6,1,0,0,161,61,37,0,0,316,47,0
Lake,365,139,220,5,1,0,0,151,69,54,0,3,67,292,3
Madison,365,199,159,7,0,0,0,136,63,48,0,0,125,240,0
Marion,365,105,249,10,1,0,0,158,73,55,0,0,81,284,0
Monroe,335,182,153,0,0,0,0,98,63,48,0,0,0,335,0
Morgan,364,337,27,0,0,0,0,100,47,33,0,0,364,0,0
Perry,350,324,26,0,0,0,0,80,50,35,0,0,350,0,0
Porter,365,214,146,4,1,0,0,164,64,47,0,0,160,190,15
Posey,360,326,34,0,0,0,0,100,50,34,0,0,360,0,0
Shelby,361,331,25,5,0,0,0,112,49,34,0,0,361,0,0
Spencer,121,72,49,0,0,0,0,87,61,41,0,0,0,121,0
St. Joseph,365,173,185,7,0,0,0,133,67,51,0,1,123,241,0
Sullivan,181,108,73,0,0,0,0,92,62,43,0,0,0,181,0
Tippecanoe,345,207,138,0,0,0,0,80,59,46,0,0,0,345,0
Vanderburgh,365,200,162,3,0,0,0,143,64,48,0,0,122,243,0
Vigo,365,188,174,3,0,0,0,115,67,50,0,0,132,233,0
Wabash,362,315,42,5,0,0,0,129,54,35,0,0,362,0,0
Warrick,365,324,38,3,0,0,0,126,51,35,0,0,365,0,0
Whitley,348,235,113,0,0,0,0,84,59,41,0,0,0,348,0
Black Hawk,365,140,225,0,0,0,0,84,66,53,0,0,0,365,0
Bremer,245,224,19,2,0,0,0,112,50,37,0,0,245,0,0
Cerro Gordo,115,115,0,0,0,0,0,46,31,16,0,0,0,0,115
Clinton,365,168,197,0,0,0,0,100,68,52,0,0,88,277,0
Harrison,245,213,30,2,0,0,0,101,58,39,0,0,245,0,0
Johnson,362,186,176,0,0,0,0,93,61,50,0,0,0,362,0
Lee,121,70,51,0,0,0,0,78,61,45,0,0,0,121,0
Linn,365,185,176,4,0,0,0,129,67,50,0,0,96,269,0
Montgomery,365,219,146,0,0,0,0,93,63,46,0,0,92,273,0
Muscatine,365,154,211,0,0,0,0,95,66,52,0,0,0,365,0
Palo Alto,365,188,175,2,0,0,0,115,66,49,0,0,104,261,0
Polk,365,225,138,2,0,0,0,112,62,46,0,2,147,216,0
Pottawattamie,124,80,43,1,0,0,0,102,61,42,0,0,0,119,5
Scott,365,100,261,4,0,0,0,108,72,56,0,0,33,274,58
Van Buren,359,230,129,0,0,0,0,100,61,43,0,0,110,248,1
Woodbury,122,81,41,0,0,0,0,93,58,44,0,0,0,122,0
Chase,116,96,20,0,0,0,0,67,53,30,0,0,0,116,0
Ford,354,325,28,1,0,0,0,129,41,17,0,0,0,0,354
Johnson,363,277,86,0,0,0,0,92,61,40,0,0,222,141,0
Leavenworth,362,325,37,0,0,0,0,100,51,33,0,0,362,0,0
Neosho,359,285,74,0,0,0,0,87,57,40,0,0,285,68,6
Sedgwick,365,238,127,0,0,0,0,100,64,44,0,10,194,110,51
Shawnee,365,194,171,0,0,0,0,99,67,50,0,0,98,267,0
Sherman,350,344,6,0,0,0,0,91,31,14,0,0,0,0,350
Sumner,365,293,72,0,0,0,0,90,58,38,0,1,282,67,15
Trego,364,287,76,1,0,0,0,130,61,39,0,1,289,73,1
Wyandotte,365,200,162,2,1,0,0,172,71,48,0,8,139,217,1
Bell,256,224,32,0,0,0,0,84,52,39,0,0,215,41,0
Boone,243,218,23,1,1,0,0,151,51,38,0,0,243,0,0
Boyd,364,245,118,1,0,0,0,119,59,44,0,10,113,241,0
Bullitt,233,196,35,2,0,0,0,150,58,38,0,0,233,0,0
Campbell,350,206,143,1,0,0,0,101,60,45,0,12,83,255,0
Carter,281,248,33,0,0,0,0,80,52,35,0,0,195,86,0
Christian,280,217,63,0,0,0,0,90,58,41,0,0,193,87,0
Daviess,357,206,150,1,0,0,0,112,63,46,0,16,86,255,0
Edmonson,365,234,131,0,0,0,0,100,61,43,2,0,109,254,0
Fayette,364,202,162,0,0,0,0,87,62,48,0,10,65,288,1
Greenup,238,218,19,1,0,0,0,119,50,36,0,0,238,0,0
Hancock,125,115,10,0,0,0,0,97,48,38,0,0,125,0,0
Hardin,361,191,170,0,0,0,0,100,64,49,0,0,66,295,0
Henderson,360,188,170,2,0,0,0,108,66,49,0,0,79,281,0
Jefferson,365,125,232,6,2,0,0,166,77,54,0,4,84,277,0
Jessamine,237,207,30,0,0,0,0,90,54,39,0,0,237,0,0
Livingston,257,226,31,0,0,0,0,97,54,39,0,0,240,0,17
McCracken,364,183,181,0,0,0,0,100,64,50,0,0,68,296,0
Morgan,364,337,27,0,0,0,0,80,48,34,0,0,364,0,0
Oldham,243,214,28,1,0,0,0,108,54,38,0,0,243,0,0
Perry,364,205,159,0,0,0,0,80,61,48,0,0,63,301,0
Pike,359,272,87,0,0,0,0,84,57,41,0,0,96,263,0
Pulaski,282,224,58,0,0,0,0,74,57,39,0,0,195,87,0
Simpson,243,212,31,0,0,0,0,93,51,38,0,0,243,0,0
Trigg,348,324,24,0,0,0,0,87,48,35,0,0,348,0,0
Warren,352,202,150,0,0,0,0,95,62,48,0,0,39,313,0
Washington,359,326,33,0,0,0,0,77,50,35,0,0,359,0,0
Ascension,364,325,36,3,0,0,0,122,51,31,0,7,357,0,0
Bossier,365,280,85,0,0,0,0,96,63,38,0,0,218,144,3
Caddo,361,267,92,2,0,0,0,128,64,39,0,0,270,91,0
Calcasieu,365,145,214,6,0,0,0,108,69,53,0,1,41,323,0
East Baton Rouge,365,170,184,11,0,0,0,126,71,51,0,1,79,285,0
Iberville,365,279,78,7,1,0,0,153,66,38,0,1,297,67,0
Jefferson,365,207,157,1,0,0,0,101,67,47,0,1,87,277,0
Lafayette,365,210,155,0,0,0,0,97,65,47,0,0,114,251,0
Lafourche,362,280,82,0,0,0,0,90,56,39,0,0,207,155,0
Livingston,365,212,153,0,0,0,0,100,62,46,0,0,111,254,0
Orleans,365,209,156,0,0,0,0,87,63,46,0,22,0,338,5
Ouachita,363,323,40,0,0,0,0,100,51,34,0,0,285,78,0
Pointe Coupee,356,324,32,0,0,0,0,97,48,31,0,0,356,0,0
Rapides,119,84,35,0,0,0,0,92,61,41,0,0,0,119,0
St. Bernard,365,188,174,3,0,0,0,112,66,49,0,0,109,255,1
St. James,364,350,14,0,0,0,0,93,44,27,0,0,364,0,0
St. John the Baptist,359,336,22,1,0,0,0,108,48,31,0,0,359,0,0
St. Martin,352,321,31,0,0,0,0,97,50,33,0,0,352,0,0
St. Tammany,365,280,84,1,0,0,0,101,61,38,0,0,200,165,0
Tangipahoa,125,89,36,0,0,0,0,81,58,37,0,0,0,125,0
Terrebonne,119,95,24,0,0,0,0,73,56,36,0,0,0,119,0
West Baton Rouge,365,218,144,3,0,0,0,129,66,46,0,3,90,272,0
Androscoggin,361,309,52,0,0,0,0,84,54,34,0,0,160,199,2
Aroostook,365,262,101,0,1,1,0,216,60,42,0,0,135,230,0
Cumberland,365,280,85,0,0,0,0,100,58,41,0,4,183,176,2
Hancock,365,331,33,1,0,0,0,122,50,37,0,0,329,36,0
Kennebec,360,339,21,0,0,0,0,90,47,30,0,115,210,33,2
Knox,219,209,9,1,0,0,0,112,45,36,0,0,219,0,0
Oxford,354,290,64,0,0,0,0,98,58,39,0,0,144,210,0
Penobscot,365,309,56,0,0,0,0,97,54,37,0,0,155,209,1
Washington,339,327,11,1,0,0,0,122,46,36,0,0,324,15,0
York,227,207,18,2,0,0,0,119,49,40,0,0,227,0,0
Anne Arundel,261,193,59,9,0,0,0,140,77,42,0,0,240,0,21
