Value,State_County_Year
"49,088",southdakotaroberts2019
"50,673",southdakotaroberts2020
"54,874",southdakotasanborn2018
"56,507",southdakotasanborn2019
"51,952",southdakotasanborn2020
"31,662",southdakotashannon2018
"34,078",southdakotashannon2019
"32,195",southdakotashannon2020
"50,590",southdakotaspink2018
"54,666",southdakotaspink2019
"53,282",southdakotaspink2020
"69,991",southdakotastanley2018
"70,472",southdakotastanley2019
"76,413",southdakotastanley2020
"59,457",southdakotasully2018
"61,791",southdakotasully2019
"59,157",southdakotasully2020
"31,876",southdakotatodd2018
"34,015",southdakotatodd2019
"31,256",southdakotatodd2020
"45,710",southdakotatripp2018
"50,503",southdakotatripp2019
"46,162",southdakotatripp2020
"62,792",southdakotaturner2018
"63,852",southdakotaturner2019
"62,754",southdakotaturner2020
"80,698",southdakotaunion2018
"83,910",southdakotaunion2019
"82,574",southdakotaunion2020
"48,394",southdakotawalworth2018
"51,472",southdakotawalworth2019
"45,288",southdakotawalworth2020
"56,535",southdakotayankton2018
"60,868",southdakotayankton2019
"57,075",southdakotayankton2020
"32,341",southdakotaziebach2018
"33,508",southdakotaziebach2019
"31,599",southdakotaziebach2020
